	corpus_id	sentence_id	sentence	options	final
0	0	0	Zunächst habe ich meinen Arbeitsplatz vorbereitet, um konzentriert die Aufgabe bearbeiten zu können.	0,2	0
1	0	1	Anschließend las ich das Fallbeispiel mehrmals durch und fing spontan an, die Fragen zu beantworten.	0	0
2	0	2	Ich bin neutral und offen an die Aufgabe herangegangen und habe mich Recht wohl gefühlt.	0,1	1
3	0	3	Nachdem ich zunächst die Aufgabe ohne Lerninhalte bearbeitet hatte, las ich die Tipps durch und konnte mehr Reproduktion hinzufügen und der Lösung eine Struktur geben, welche auf Hintergrundwissen basierte.	0,2	2
4	0	4	Die Tipps haben mir sehr geholfen, um meine Lösung zu verbessern.	2	2
5	0	5	Ich bin zufrieden mit meiner Leistung.	2	2
6	0	6	Allerdings ist mir bewusst, dass sie nicht zu 100% vollständig ist.	2	2
7	0	7	Leider weiß ich aber nicht, was noch fehlt bzw. was verbessert werden kann.	2	2
8	0	8	Schließlich ist es aber eine gute Übung und muss nicht perfekt sein.	2	2
9	0	9	Sehr motiviert, denn ich finde das Klassengeschehen und die Klassendynamik für gutes und effektives Lernen sehr wichtig.	1,2,3	3
10	0	10	Es ist interessant, über den aktuellen Forschungsstand des Themas zu lesen und ihn mit den eigenen Erfahrungen+Beobachtungen zu vergleichen.	2	2
11	0	11	Ich empfand das Fallbeispiel als sehr „gestelzt“ und nicht klar nachvollziehbar, ansonsten hätte ich mich sehr gut vorbereitet gefühlt.	2	2
12	0	12	Das denke ich, ja.	0	0
13	0	13	Den Unterricht gedanklich durchzugehen.	0	0
14	0	14	Ja, sehr konzentriert.	1	1
15	0	15	S.o	0	0
16	0	16	Gut.	1	1
17	0	17	Bereichert.	1	1
18	0	18	Ich bleibe bei meiner Lösung.	0	0
19	0	19	Die Reflexion ist angenehm, da sie mir veranschaulicht, wie ich mit dem Thema  Klassenmanagement und Umgang mit Störungen umgegangen bin.	2,3	3
20	0	20	Positiv.	0	0
21	0	21	Ziemlich motiviert, Klassenmanagement und der Umgang mit Störungen sind in meinen Augen eine der wichtigsten Themen.	1,2	2
22	0	22	Sehr, s.o.	0	0
23	0	23	Was die Materialien angeht, ziemlich gut, auch mit der weiteren Literatur usw.	2	2
24	0	24	Was mein Vorwissen angeht, weniger gut …hoffentlich!	2	2
25	0	25	Mich in die Situation hineinzuversetzen, mir zu überlegen wie ich damit umgehen würde. ja.	5	5
26	0	26	Recht gut.	1	1
27	0	27	Mit allem was schriftliche Aufgaben usw. angeht recht gut, selbstständiges Lernen auf StudOn fällt mir ohne synchrone Vorlesungen schwerer.	2,3	3
28	0	28	Um einiges besser als davor	2	2
29	0	29	Mein Fokus lag evtl. ein bisschen zu sehr auf den theoretischen Grundlagen und zu wenig auf der praktischen Umsetzung …reflektiert.	3,4	4
30	0	30	Gut, hat mir jedenfalls sehr weitergeholfen	2	2
31	0	31	Mit Hinblick auf mein bevorstehendes pädagogisch-didaktisches Praktikum wollte ich gerne etwas über die Thematik lernen und war daher motiviert und hatte ein reges Interesse daran.	1,2,3	3
32	0	32	Durch das Lesen des Skriptes habe ich mich gut vorbereitet gefühlt auf die Fragestellung, wobei hier vor allem die Sicherheit geholfen hat, jeder Zeit nachschlagen zu können.	2,3	3
33	0	33	Die Aufgabe selbst war für mich klar verständlich.	2	2
34	0	34	Während des Lesens des Skriptes war ich nicht sonderlich konzentriert, da ich die meisten Inhalte für reinen Menschenverstand halte.	2,3	3
35	0	35	Bei der Aufgabe hingegen hat sich während dem Schreiben ein immer größeres Interesse entwickelt.	2	2
36	0	36	Ich habe mich selbst in die Situation versetzt gefühlt und wollte für mich eine bestmögliche Lösung finden, um auch für spätere Situationen in meinem Arbeitsalltag vorbereitet zu sein.	2,3	3
37	0	37	Ich hatte Spaß daran, mir vorzustellen, wie die Konflikte erfolgreich bewältigt werden und ein positives Unterrichtsklima entsteht.	2,3	3
38	0	38	Das Erarbeiten auf Studon hat mich zeitweise etwas verwirrt und ich hoffe, dass ich die Aufgaben nun richtig interpretiert habe.	2,3	3
39	0	39	Im Skript stand etwas von drei Handlungsansätzen zu dem dort gemeinten Beispiel und in der Übungseinheit steht ein anderes Fallbeispiel.	0	0
40	0	40	Ich habe nicht so viel gelernt, wie ich mir erhofft hatte, da doch einiges schon (unterbewusst) vorhanden war.	2,3	3
41	0	41	Ich hätte mir etwas mehr „neue Erkenntnisse“ gewünscht.	4,5	5
42	0	42	Mehr konkrete Handlungsbeispiele, die man nicht aus dem eigenen Unterricht als Schüler/-in kennt, wären bereichernd gewesen.	2,4,5	5
43	0	43	Die Ansätze aus dem Skript habe ich verstanden und in ihren Grundzügen auch im Gedächtnis gespeichert.	0,2	2
44	0	44	Mit meiner Erarbeitung zum Fallbeispiel bin ich zufrieden.	2	2
45	0	45	Dort konnte ich erlerntes vor allem mit Hinblick auf die Situationsanalyse direkt anwenden.	0	0
46	0	46	Vor der Bearbeitung der Aufgabe, habe ich mich etwas unsicher, aber zumindest allgemein gut vorbereitet gefühlt, da ich mir bereits die vertonten Vorlesungsfolien, die Skripte aus dem Basisseminar und der Vorlesung angesehen und diese durchgearbeitet hatte sowie in die angegebene Literatur hineingelesen hatte.	2,3	3
47	0	47	Dies war meine erste Herangehensweise: Informationen sammeln und so gut wie möglich zu der Thematik vorinformieren bzw. für Verständnis und Überblick sorgen.	0	0
48	0	48	Der zweite Schritt war dann ein Verständnis des Arbeitsauftrages und welche Form diese Ausarbeitung einnehmen sollte.	0	0
49	0	49	Diese hat mir einige Probleme bereitet (siehe Reflexion zur Situation während der Bearbeitung).	2	2
50	0	50	Die Lerninhalte empfand ich als sehr aufschlussreich und in ihren abstrakten Grundzügen gut zu verstehen und anzuwenden.	2	2
51	0	51	Jedoch erschienen sie mir in ihrer Fülle schwer zusammenfassbar, ohne evtl. wichtige Punkte zu vernachlässigen.	2	2
52	0	52	Dies war für mich auch ein Hindernis in der Bearbeitung der schriftlichen Aufgabe.	2	2
53	0	53	Die größte Hürde lag für mich jedoch in der Unwissenheit bzw. Offenheit zu der Form, dem Umfang und der Struktur, die die Bearbeitung dieser Aufgabe haben sollte.	2	2
54	0	54	Ist es eher Prüfungsaufgabencharakter oder geht es von der Bearbeitung eher in Richtung Hausarbeit.	0	0
55	0	55	Dies spiegelt sich auch in meiner Ausarbeitung wider, welche ich mehrmals strukturmäßig überarbeitet habe, ohne eine Lösung zu finden, die mich vollends überzeugt hätte.	2	2
